,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
94,"Don't Lose Your Mind, Lose Your Weight - Tamil",4.1,33,161,200,19,English,Paperback,Rujuta Diwekar,11-20
95,LUCENTS General Knowledge WITH ARIHANT General Knowledg...,4.3,404,225,246,8,English,Paperback,LUCENT,1-10
96,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
97,Ncert Chemistry Class 11&12 (Set Of 4 Books),4.0,1499,415,660,37,English,Paperback,NCERT,31-40
98,Target High,4.4,2616,987,1299,24,English,Paperback,unknown,21-30
99,Ncer Mathematics Class12 Volume1&2,4.2,635,250,300,16,English,Paperback,EXPERTS,11-20
100,"Physics Textbook Part - 1 And 2 , Chemistry Textbook Pa...",4.2,1995,705,800,11,English,Paperback,NCERT,11-20
101,"UP BTC D.El.Ed 2nd Semester ( Paper 1 , 2 , 3 , 4 , 5 ,...",4.4,75,155,220,29,English,Hardcover,rajan,21-30
102,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
103,NCERT Biology Textbook For Class - 11 And Class - 12 ( ...,4.1,2663,360,425,15,English,Paperback,NCERT,11-20
104,Oxford Student Atlas for India,4.5,13575,299,320,6,English,Paperback,unknown,1-10
105,CDS Maths : Fastrack With Shortcut Tricks,4.5,82,341,552,38,English,Paperback,DDE,31-40
106,50 Greatest Short Stories,4.5,1590,159,295,46,English,Paperback,O'Brien Terry,41-50
107,T.S. Grewal's Double Entry Book Keeping (Accounting For...,4.6,155,231,270,14,English,Paperback,H.S. Grewal,11-20
108,Jawahar Navodaya Vidyalaya Entrance Exam 2021 Class 6,4.4,232,254,325,21,English,Paperback,unknown,21-30
109,The Secret,4.5,2162,235,399,41,Malayalam,Paperback,Byrne Rhonda,41-50
110,Objective Computer Awareness,4.3,6265,89,140,36,English,Paperback,unknown,31-40
111,Why I am an Atheist and Other Works,4.6,1635,105,175,40,English,Paperback,Singh Bhagat,31-40
112,The Girl in Room 105,4.4,89,180,250,28,Telugu,Paperback,Bhagat Chetan,21-30
113,"Arihant Ncert Exemplar Problems-Solutions PHYSICS, CHEM...",4.5,31,375,475,21,English,Paperback,Arihant Expert,21-30
114,"NEET Most Wanted Physics, Chemistry And Biology: 40 Day...",4.5,352,840,1280,34,English,Paperback,Anurag Pareek,31-40
115,151 Essays for IAS/ Pcs & Other Competitive Exams,4.5,431,191,320,40,English,Paperback,unknown,31-40
116,Rich Dad Poor Dad,4.6,13,221,295,25,Punjabi,Paperback,Kiyosaki Robert T.,21-30
117,PROBLEMS IN PHYSICAL CHEMISTRY FOR NEET,4.5,134,460,498,7,English,Paperback,Narendra Avasthi,1-10
118,Story Books Set of 10 in English with 101 Moral Stories...,4.3,1143,234,350,33,English,Paperback,unknown,31-40
119,Indian Army NER Soldier GD General Duty Recruitment Exa...,4.3,2146,132,135,2,English,Paperback,Yajvendra Yadav,1-10
120,Objective Biology,4.6,407,483,1050,54,English,Paperback,DR. ALI AKHATAR,51-60
121,The Power of Your Subconscious Mind,4.4,5155,150,299,49,English,Paperback,Murphy Joseph,41-50
122,Objective General Knowledge,4.5,205,320,390,17,English,Paperback,Sanjiv Kumar,11-20
123,General Knowledge 2019-20 Combo Lucent With Arihant (Pa...,4.4,3992,215,246,12,English,Paperback,LUCENT,11-20
124,A Competitive Book of Agriculture,4.4,1589,299,325,8,English,Paperback,Nem Raj Sunda,1-10
125,"Trueman's Elementary Biology, Volume - 1 for Class 11 (...",4.6,220,831,875,5,English,Paperback,M.P. Tyagi K.N. Bhatia,1-10
126,Railway maths 2020 (2012-A),4.2,42,346,390,11,Hindi,Paperback,SSGCP GROUP,11-20
127,Shortcuts in Quantitative Aptitude for Competitive Exam...,4.1,3317,93,150,38,English,Paperback,Disha Publication,31-40
128,Pawan D.el.ed. Fourth Semester Question Bank Total 8 Su...,4.8,14,158,220,28,English,Paperback,PAWAN,21-30
129,Problem In Physical Chemistry For JEE Mains & Advanced ...,4.5,148,420,518,18,English,Paperback,Narendra Avasthi,11-20
130,All In One English Core For Class Xii Cbse,4.4,49,338,415,18,English,Paperback,GAJENDRA SINGH,11-20
131,COMBO: CSIR-JRF-NET: Life Sciences Fundamentals And Pra...,4.5,866,699,940,25,English,Paperback,Pranav Kumar,21-30
132,Cbse All in One Physics Class 11 for 2021 Exam,4.5,316,392,510,23,English,Paperback,unknown,21-30
133,Ananthanarayan and Paniker's Textbook of Microbiolog wi...,4.4,483,1019,1055,3,English,Paperback,Kanungo Reba,1-10
134,Tamilnadu History - Class Xi (Photocopy),4.4,1710,115,200,42,English,Paperback,TAMILNADU BOARD,41-50
135,PROBLEMS IN INORGANIC CHEMISTRY FOR JEE,4.5,133,400,525,23,English,Paperback,V.K.Jaiswal,21-30
136,"History Book, Modern India Latest Edition 2018, India, ...",4.3,1735,267,415,35,English,Paperback,Rajiv Ahir,31-40
137,The Power of Your Subconscious Mind,4.4,5155,150,170,11,English,Paperback,Murphy Joseph,11-20
138,The Power of Your Subconscious Mind,4.4,5155,140,151,7,English,Paperback,Murphy Joseph,1-10
139,The Power of Your Subconscious Mind,4.4,5155,140,195,28,English,Paperback,Murphy Joseph,21-30
140,Civil Engineering: Conventional And Objective Type,4.3,1475,345,599,42,English,Paperback,R.S Khurmi,41-50
141,"UP BTC D.El.Ed 4th Semester ( Paper 1 , 2 , 3 , 4 , 5 ,...",4.4,83,156,220,29,English,Hardcover,rajan,21-30
142,Bhagavad Gita: As It Is 2016 English Edition,4.8,727,251,450,44,English,Hardcover,"""His Divine Grace A.C. Bhaktivedanta Swami Prabhupada""",41-50
143,The English Acumen Grammar + Vocabulary + Comprehension,4.4,2133,275,380,27,English,Paperback,Gopal Verma,21-30
144,BlackBook of English Vocabulary August 2020,4.9,29,235,299,21,English,Paperback,Nikhil Gupta,21-30
